bike_name,price,city,kms_driven,owner,age,power,brand
TVS Star City Plus Dual Tone 110cc,35000.0,Ahmedabad,17654.0,First Owner,3.0,110.0,TVS
Mahindra Centuro NXT 110cc,28000.0,Jaipur,45000.0,First Owner,2.0,110.0,Mahindra
Bajaj CT 100 100cc,30000.0,Noida,8250.0,First Owner,3.0,100.0,Bajaj
Hero Splendor Plus Kick Alloy 100cc,40000.0,Delhi,9000.0,First Owner,3.0,100.0,Hero
Bajaj V15 150cc POWER UP,35000.0,Mumbai,26000.0,First Owner,2.0,150.0,Bajaj
Honda Dream Neo 110cc,36500.0,Delhi,9000.0,First Owner,3.0,110.0,Honda
TVS Sport 100cc,34000.0,Delhi,8048.0,First Owner,3.0,100.0,TVS
Bajaj Platina  Alloy ES-100cc,30000.0,Faridabad,15059.0,First Owner,3.0,100.0,Bajaj
TVS Sport 100cc,34000.0,Delhi,8048.0,First Owner,3.0,100.0,TVS
Bajaj Platina  Alloy ES-100cc,30000.0,Faridabad,15059.0,First Owner,3.0,100.0,Bajaj
Bajaj Discover 110cc,35000.0,Faridabad,7285.0,First Owner,3.0,110.0,Bajaj
Hero HF Deluxe self Alloy 100cc,35000.0,Ghaziabad,16432.0,First Owner,3.0,100.0,Hero
Bajaj Discover 125cc Disc,39000.0,Faridabad,9923.0,First Owner,2.0,125.0,Bajaj
Bajaj Discover 125cc Disc,39000.0,Faridabad,9923.0,First Owner,2.0,125.0,Bajaj
Hero Passion Pro i3S Alloy 100cc,39799.0,Khalilabad,14500.0,First Owner,3.0,100.0,Hero
Bajaj CT 100 ES Alloy,39000.0,Faridabad,2564.0,First Owner,2.0,100.0,Bajaj
Bajaj Platina  Alloy ES-100cc,39000.0,Faridabad,12193.0,First Owner,2.0,100.0,Bajaj
Hero Passion Pro i3S Alloy 100cc,39799.0,Khalilabad,14500.0,First Owner,3.0,100.0,Hero
Bajaj Platina  Alloy ES-100cc,39000.0,Faridabad,12193.0,First Owner,2.0,100.0,Bajaj
Bajaj CT 100 100cc,32000.0,Faridabad,19808.0,First Owner,3.0,100.0,Bajaj
Bajaj Platina  Alloy ES-100cc,38000.0,Faridabad,12692.0,First Owner,2.0,100.0,Bajaj
Bajaj Platina  Alloy ES-100cc,38000.0,Faridabad,11047.0,First Owner,3.0,100.0,Bajaj
